FactoryOverhead,LabourHours,MachineHours,RawMaterials
137896,2092,959,414
174342,1617,1227,623
168896,2215,1351,437
178059,1584,1480,479
166605,1930,952,678
165320,1717,986,666
157585,2319,931,585
165667,2312,1439,479
155657,1880,945,619
144605,1723,869,489
157608,1992,1171,445
171700,2476,1228,581
140686,2087,928,446
171982,2256,950,688
155252,2179,1016,580
140793,1806,902,464
154377,1671,948,610
150886,2019,1130,532
159198,1585,1335,415
145379,1747,1052,517
152614,1618,860,640
159450,2122,1188,548
160983,1697,1254,425
175393,2406,1187,695
153031,1917,948,468
166110,1658,1015,660
150041,2042,971,478
170419,1757,1111,652
169062,1952,1326,619
157149,1536,1017,513
137896,1536,860,414
178059,2476,1480,695
